BAM,HEADER,phase,duty,pos_counts,vel_rad_s  (V_BUS=12.0V COUNTS_PER_REV=1976 dt=10ms)
BAM,1800,stair,90,0,0.000
BAM,1810,stair,90,0,0.000
BAM,1820,stair,90,0,0.000
BAM,1830,stair,90,0,0.000
BAM,1840,stair,90,0,0.000
BAM,1850,stair,90,0,0.000
BAM,1860,stair,90,0,0.000
BAM,1870,stair,90,0,0.000
BAM,1880,stair,90,0,0.000
BAM,1890,stair,90,0,0.000
BAM,1900,stair,90,0,0.000
BAM,1910,stair,90,0,0.000
BAM,1920,stair,90,0,0.000
BAM,1930,stair,90,0,0.000
BAM,1940,stair,90,0,0.000
BAM,1950,stair,90,0,0.000
BAM,1960,stair,90,0,0.000
BAM,1970,stair,90,0,0.000
BAM,1980,stair,90,0,0.000
BAM,1990,stair,90,0,0.000
BAM,2000,stair,90,0,0.000
BAM,2010,stair,90,0,0.000
BAM,2020,stair,90,0,0.000
BAM,2030,stair,90,0,0.000
BAM,2040,stair,90,0,0.000
BAM,2050,stair,90,0,0.000
BAM,2060,stair,90,0,0.000
BAM,2070,stair,90,0,0.000
BAM,2080,stair,90,0,0.000
BAM,2090,stair,90,0,0.000
BAM,2100,stair,90,0,0.000
BAM,2110,stair,90,0,0.000
BAM,2120,stair,90,0,0.000
BAM,2130,stair,90,0,0.000
BAM,2140,stair,90,0,0.000
BAM,2150,stair,90,0,0.000
BAM,2160,stair,90,0,0.000
BAM,2170,stair,90,0,0.000
BAM,2180,stair,90,0,0.000
BAM,2190,stair,90,0,0.000
BAM,2200,stair,90,0,0.000
BAM,2210,stair,90,0,0.000
BAM,2220,stair,90,0,0.000
BAM,2230,stair,90,0,0.000
BAM,2240,stair,90,0,0.000
BAM,2250,stair,90,0,0.000
BAM,2260,stair,90,0,0.000
BAM,2270,stair,90,0,0.000
BAM,2280,stair,90,0,0.000
BAM,2290,stair,90,0,0.000
BAM,2300,stair,90,0,0.000
BAM,2310,stair,90,0,0.000
BAM,2320,stair,90,0,0.000
BAM,2330,stair,90,0,0.000
BAM,2340,stair,90,0,0.000
BAM,2350,stair,90,0,0.000
BAM,2360,stair,90,0,0.000
BAM,2370,stair,90,0,0.000
BAM,2380,stair,90,0,0.000
BAM,2390,stair,90,0,0.000
BAM,2400,stair,90,0,0.000
BAM,2410,stair,90,0,0.000
BAM,2420,stair,90,0,0.000
BAM,2430,stair,90,0,0.000
BAM,2440,stair,90,0,0.000
BAM,2450,stair,90,0,0.000
BAM,2460,stair,90,0,0.000
BAM,2470,stair,90,0,0.000
BAM,2480,stair,90,0,0.000
BAM,2490,stair,90,0,0.000
BAM,2500,stair,90,0,0.000
BAM,2510,stair,90,0,0.000
BAM,2520,stair,90,0,0.000
BAM,2530,stair,90,0,0.000
BAM,2540,stair,90,0,0.000
BAM,2550,stair,90,0,0.000
BAM,2560,stair,90,0,0.000
BAM,2570,stair,90,0,0.000
BAM,2580,stair,90,0,0.000
BAM,2590,stair,90,0,0.000
BAM,2600,stair,90,0,0.000
BAM,2610,stair,90,0,0.000
BAM,2620,stair,90,0,0.000
BAM,2630,stair,90,0,0.000
BAM,2640,stair,90,0,0.000
BAM,2650,stair,90,0,0.000
BAM,2660,stair,90,0,0.000
BAM,2670,stair,90,0,0.000
BAM,2680,stair,90,0,0.000
BAM,2690,stair,90,0,0.000
BAM,2700,stair,90,0,0.000
BAM,2710,stair,90,0,0.000
BAM,2720,stair,90,0,0.000
BAM,2730,stair,90,0,0.000
BAM,2740,stair,90,0,0.000
BAM,2750,stair,90,0,0.000
BAM,2760,stair,90,0,0.000
BAM,2770,stair,90,0,0.000
BAM,2780,stair,90,0,0.000
BAM,2790,stair,90,0,0.000
BAM,2800,stair,90,0,0.000
BAM,2810,stair,90,0,0.000
BAM,2820,stair,90,0,0.000
BAM,2830,stair,90,0,0.000
BAM,2840,stair,90,0,0.000
BAM,2850,stair,90,0,0.000
BAM,2860,stair,90,0,0.000
BAM,2870,stair,90,0,0.000
BAM,2880,stair,90,0,0.000
BAM,2890,stair,90,0,0.000
BAM,2900,stair,90,0,0.000
BAM,2910,stair,90,0,0.000
BAM,2920,stair,90,0,0.000
BAM,2930,stair,90,0,0.000
BAM,2940,stair,90,0,0.000
